Poz.,Denumire,Referinta,Buc.,Material,Obs.,,
1,Arbore de intrare,AR11B1-00-01,1,20TiMnCr12,,,
2,Pana paralela C 6x6x22,STAS 1004-B1,1,C60,,,
3,Manseta A 22x38,STAS 7959-72,1,,Comert,,
4,Rulment radial axial cu bile 6205,Catalog Schaeffler,2,,Comert,,
5,Capac de intrare,AR11B1-00-02,1,S235,,,
6,Roata cilindrica,AR11b1-00-03,1,20TiMnCr12,,,
7,Rulment radial axial cu bile 6213,Catalog Schaeffler,2,,Comert,,
8,Capac de iesire,AR11b1-00-04,1,S235,,,
9,Arbore de iesire,AR11b1-00-05,1,C60,,,
10,Pana paralela C 6x6x22,STAS 1004-B1,1,C60,,,
11,Distantier,AR11b1-00-06,1,S235,,,
12,Capac de iesire,AR11b1-00-07,1,S235,,,
13,Manseta A 28x52,STAS 7959-72,1,,Comert,,
14,Capac de intrare,AR11b1-00-08,1,S235,,,
15,Pana paralela C 6x6x22,STAS 1004-B1,1,C60,,,
16,Dop de golire M20x3,STAS 5305-71,1,Grupa b.8,Comert,,
17,Garnitura plata,DIN 7603 A,1,Aluminiu,Comert,,
18,Carcasa inferioara,AR11b1-00-09,1,Fc200,Turnat,,
19,Carcasa superioara,AR11b1-00-10,1,Fc200,Turnat,,
20,Surub M3x10,STAS 4272-89,32,Grupa b.8,Comert,,
21,Saiba Grower,STAS 7666,32,56Si17,Comert,,
22,Dop de aerisire,AR11b1-00-11,1,5235,,,
23,Capac de vizitare,AR11b1-00-12,1,5235,,,
24,Garnitura capac de vizitare,AR11b1-00-13,1,Cauciuc,,,
25,Surub M2x10,STAS 4845-89,8,Grupa b.8,Comert,,
26,Saiba Grower,STAS 7666,8,Grupa b.8,Comert,,
27,Surub M5x30,STAS 4272-89,6,Grupa b.8,Comert,,
28,Piulita hexagonala M5,STAS 4271-89,12,Grupa 8,Comert,,
29,Saiba Grower,STAS 7666,12,56Si17,Comert,,
30,Vizor,AR11b1-00-14,1,Plastic,Comert,,
31,Surub M5x40,STAS 4272-89,6,Grupa b.8,Comert,,
32,Garnitura vizor,AR11b1-00-15,1,Cauciuc,Comert,,
33,Surub M2x8,STAS 5144-80,3,Grupa b.8,Comert,,
34,Stift Cilindric,STAS 1599-80,2,E535,Comert,,
,,,,,,,
